datetime,PM10,PM25,CO,NO2,SO2,O3,WS,WD
2020-03-02 09:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 10:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 11:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 12:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 13:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 14:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 15:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 16:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 17:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 18:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 19:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 20:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 21:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 22:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-02 23:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 00:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 01:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 02:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 03:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 04:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 05:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 06:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 07:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 08:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 09:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 10:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 11:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 12:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 13:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 14:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 15:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 16:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 17:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 18:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 19:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 20:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 21:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 22:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-03 23:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-04 00:00:00+07:00,17.0,9.0,0.3,3.0,1.0,23.0,2.2,132.0
2020-03-04 01:00:00+07:00,16.0,8.0,0.3,5.0,1.0,17.0,2.2,138.0
2020-03-04 02:00:00+07:00,15.0,7.0,0.3,5.0,1.0,16.0,2.0,140.0
2020-03-04 03:00:00+07:00,14.0,7.0,0.3,6.0,1.0,17.0,1.6,147.0
2020-03-04 04:00:00+07:00,15.0,8.0,0.3,9.0,1.0,11.0,1.3,156.0
2020-03-04 05:00:00+07:00,16.0,9.0,0.3,12.0,1.0,8.0,1.3,143.0
2020-03-04 06:00:00+07:00,17.0,9.0,0.3,10.0,1.0,12.0,1.4,144.0
2020-03-04 07:00:00+07:00,17.0,9.0,0.3,12.0,1.0,10.0,1.2,143.0
2020-03-04 08:00:00+07:00,21.0,10.0,0.4,14.0,2.0,12.0,1.3,136.0
2020-03-04 09:00:00+07:00,24.0,14.0,0.4,9.0,2.0,22.0,1.5,134.0
2020-03-04 10:00:00+07:00,20.0,12.0,0.35,7.5,3.0,26.0,1.6,130.0
2020-03-04 11:00:00+07:00,23.0,15.0,0.3,6.0,3.5,27.666666666666668,1.4,125.0
2020-03-04 12:00:00+07:00,28.0,16.0,0.3,8.0,2.0,29.333333333333332,1.8,102.0
2020-03-04 13:00:00+07:00,33.0,13.0,0.3,9.0,2.0,31.0,1.8,106.0
2020-03-04 14:00:00+07:00,34.0,9.0,0.3,8.333333333333334,2.0,24.0,2.3,101.0
2020-03-04 15:00:00+07:00,39.0,10.0,0.3,7.666666666666667,2.0,21.0,2.1,107.0
2020-03-04 16:00:00+07:00,40.5,10.0,0.3,7.0,2.0,23.0,2.0,111.0
2020-03-04 17:00:00+07:00,27.0,9.0,0.3,7.0,2.0,23.0,2.0,119.0
2020-03-04 18:00:00+07:00,23.0,8.0,0.2,5.0,2.0,20.0,2.0,120.0
2020-03-04 19:00:00+07:00,22.0,8.0,0.25,5.0,1.5,22.0,2.1,123.0
2020-03-04 20:00:00+07:00,19.0,7.0,0.3,5.0,1.0,23.0,2.1,126.0
2020-03-04 21:00:00+07:00,19.0,8.0,0.3,5.0,1.0,24.0,2.4,129.0
2020-03-04 22:00:00+07:00,16.0,8.0,0.3,4.0,1.0,22.0,2.5,133.0
2020-03-04 23:00:00+07:00,17.0,9.0,0.3,4.0,0.0,23.0,2.3,135.0
2020-03-05 00:00:00+07:00,18.0,10.0,0.3,3.0,1.0,23.0,2.1,135.0
2020-03-05 01:00:00+07:00,16.0,8.0,0.3,3.0,1.0,19.0,2.1,138.0
2020-03-05 02:00:00+07:00,16.0,7.0,0.3,4.0,1.0,21.0,2.1,140.0
2020-03-05 03:00:00+07:00,16.0,9.0,0.3,4.0,1.0,21.0,2.0,141.0
2020-03-05 04:00:00+07:00,17.0,8.0,0.3,3.0,1.0,15.0,1.8,137.0
2020-03-05 05:00:00+07:00,16.0,8.0,0.3,3.0,1.0,20.0,1.9,143.0
2020-03-05 06:00:00+07:00,15.0,8.0,0.3,4.0,1.0,20.0,1.9,144.0
2020-03-05 07:00:00+07:00,15.0,7.0,0.3,4.0,1.0,20.0,1.7,142.0
2020-03-05 08:00:00+07:00,17.0,8.0,0.3,5.0,1.0,18.0,1.7,149.0
2020-03-05 09:00:00+07:00,19.0,9.0,0.3,5.0,2.0,24.0,1.6,142.0
2020-03-05 10:00:00+07:00,22.0,11.0,0.3,4.0,1.0,28.0,1.7,137.0
2020-03-05 11:00:00+07:00,24.0,12.0,0.3,2.0,2.0,34.0,1.6,105.0
2020-03-05 12:00:00+07:00,22.0,9.0,0.3,2.0,2.0,28.0,1.8,106.0
2020-03-05 13:00:00+07:00,28.0,7.0,0.2,2.0,2.0,24.0,2.0,110.0
2020-03-05 14:00:00+07:00,27.0,8.0,0.2,3.0,2.0,27.0,2.1,115.0
2020-03-05 15:00:00+07:00,25.0,8.0,0.3,3.0,2.0,31.0,1.9,113.0
2020-03-05 16:00:00+07:00,24.0,9.0,0.3,3.0,1.0,34.0,1.9,110.0
2020-03-05 17:00:00+07:00,27.0,10.0,0.3,3.0,2.0,27.0,2.1,115.0
2020-03-05 18:00:00+07:00,32.0,12.0,0.3,3.0,2.0,35.0,2.2,119.0
2020-03-05 19:00:00+07:00,29.0,11.0,0.3,3.0,2.0,32.5,2.6,131.0
2020-03-05 20:00:00+07:00,21.0,11.0,0.3,3.0,1.0,30.0,2.4,132.0
2020-03-05 21:00:00+07:00,20.0,10.0,0.3,3.0,1.0,26.0,2.2,134.0
2020-03-05 22:00:00+07:00,20.0,11.0,0.3,3.0,1.0,27.0,1.9,127.0
2020-03-05 23:00:00+07:00,18.0,10.0,0.3,3.0,1.0,24.0,2.1,132.0
2020-03-06 00:00:00+07:00,18.0,9.0,0.2,3.0,1.0,15.0,1.9,132.0
2020-03-06 01:00:00+07:00,16.0,9.0,0.3,3.0,1.0,21.0,2.2,135.0
2020-03-06 02:00:00+07:00,15.0,8.0,0.3,2.0,1.0,21.0,2.1,137.0
2020-03-06 03:00:00+07:00,15.0,8.0,0.3,2.0,1.0,23.0,2.4,134.0
2020-03-06 04:00:00+07:00,15.0,9.0,0.3,2.0,1.0,19.0,2.3,139.0
2020-03-06 05:00:00+07:00,18.0,10.0,0.3,3.0,1.0,25.0,1.7,140.0
2020-03-06 06:00:00+07:00,20.0,12.0,0.3,4.0,1.0,17.0,1.8,147.0
2020-03-06 07:00:00+07:00,21.0,12.0,0.3,7.0,1.0,18.0,1.8,154.0
2020-03-06 08:00:00+07:00,25.0,13.0,0.4,11.0,2.0,18.0,1.3,161.0
2020-03-06 09:00:00+07:00,32.0,13.0,0.4,6.0,2.0,24.0,1.4,150.0
2020-03-06 10:00:00+07:00,26.0,14.0,0.3,3.0,2.0,31.0,1.9,141.0
2020-03-06 11:00:00+07:00,28.0,16.0,0.3,2.0,2.0,34.0,1.6,134.0
2020-03-06 12:00:00+07:00,30.0,15.0,0.3,2.0,2.0,32.0,1.9,103.0
2020-03-06 13:00:00+07:00,31.0,14.0,0.2,2.0,2.0,27.0,1.9,105.0
2020-03-06 14:00:00+07:00,33.0,13.0,0.2,2.0,3.0,23.0,2.2,99.0
2020-03-06 15:00:00+07:00,38.0,11.0,0.3,2.0,2.0,25.0,2.7,99.0
2020-03-06 16:00:00+07:00,40.0,11.0,0.3,2.0,2.0,25.0,2.4,101.0
2020-03-06 17:00:00+07:00,21.0,11.0,0.25,2.5,2.0,22.0,1.8,116.0
2020-03-06 18:00:00+07:00,22.0,11.0,0.2,3.0,2.0,19.0,1.6,117.0
2020-03-06 19:00:00+07:00,25.0,13.0,0.2,3.0,2.0,16.0,1.7,122.0
2020-03-06 20:00:00+07:00,20.0,11.0,0.2,3.0,1.0,15.0,1.7,121.0
2020-03-06 21:00:00+07:00,19.0,9.0,0.3,3.0,1.0,14.0,1.7,128.0
2020-03-06 22:00:00+07:00,18.0,9.0,0.3,3.0,1.0,16.0,1.7,128.0
2020-03-06 23:00:00+07:00,18.0,10.0,0.3,3.0,1.0,17.0,1.9,130.0
2020-03-07 00:00:00+07:00,17.0,8.0,0.3,3.0,1.0,1.0,1.4,144.0
2020-03-07 01:00:00+07:00,18.0,10.0,0.2,3.0,1.0,24.0,1.6,136.0
2020-03-07 02:00:00+07:00,21.0,10.0,0.4,4.0,1.0,11.0,1.5,132.0
2020-03-07 03:00:00+07:00,19.0,10.0,0.4,4.0,1.0,17.0,1.4,130.0
2020-03-07 04:00:00+07:00,18.0,10.0,0.2,3.0,1.0,33.0,1.5,143.0
2020-03-07 05:00:00+07:00,17.0,9.0,0.2,3.0,1.0,20.0,1.4,149.0
2020-03-07 06:00:00+07:00,18.0,9.0,0.2,6.0,1.0,3.0,1.2,141.0
2020-03-07 07:00:00+07:00,18.0,10.0,0.2,6.0,1.0,25.0,1.3,142.0
2020-03-07 08:00:00+07:00,21.0,11.0,0.2,7.0,1.0,11.0,1.5,149.0
2020-03-07 09:00:00+07:00,19.0,10.0,0.3,4.0,2.0,28.0,1.7,141.0
2020-03-07 10:00:00+07:00,19.0,11.0,0.3,2.0,1.0,37.0,1.8,141.0
2020-03-07 11:00:00+07:00,29.0,15.0,0.3,2.0,2.0,38.0,1.5,130.0
2020-03-07 12:00:00+07:00,31.0,19.0,0.3,2.0,2.0,28.0,1.8,99.0
2020-03-07 13:00:00+07:00,37.0,22.5,0.3,2.0,2.0,34.0,1.6,108.0
2020-03-07 14:00:00+07:00,40.5,22.5,0.3,2.0,2.0,33.0,2.1,98.0
2020-03-07 15:00:00+07:00,32.0,12.0,0.3,2.0,2.0,36.0,2.0,103.0
2020-03-07 16:00:00+07:00,35.0,9.0,0.25,2.0,2.0,2.0,2.3,103.0
2020-03-07 17:00:00+07:00,22.0,8.0,0.2,2.0,2.0,17.0,1.6,114.0
2020-03-07 18:00:00+07:00,19.0,7.0,0.2,2.0,2.0,32.0,1.8,122.0
2020-03-07 19:00:00+07:00,16.0,8.0,0.2,2.0,2.0,16.0,2.0,130.0
2020-03-07 20:00:00+07:00,21.0,8.0,0.2,2.0,1.0,11.0,2.3,135.0
2020-03-07 21:00:00+07:00,19.0,9.0,0.3,2.0,1.0,12.0,2.2,139.0
2020-03-07 22:00:00+07:00,15.0,8.0,0.3,2.0,0.0,6.0,2.0,142.0
2020-03-07 23:00:00+07:00,16.0,8.0,0.3,2.0,1.0,8.0,1.6,145.0
2020-03-08 00:00:00+07:00,22.0,15.0,0.4,3.0,0.0,30.0,1.4,158.0
2020-03-08 01:00:00+07:00,18.0,9.0,0.3,3.0,1.0,17.0,1.5,137.0
2020-03-08 02:00:00+07:00,17.0,9.0,0.3,4.0,0.0,23.0,1.3,133.0
2020-03-08 03:00:00+07:00,19.0,10.0,0.3,4.0,0.0,21.857142857142858,1.1,140.0
2020-03-08 04:00:00+07:00,21.0,11.0,0.3,6.0,0.0,20.714285714285715,0.7,126.0
2020-03-08 05:00:00+07:00,23.0,12.0,0.3,8.0,0.0,19.571428571428573,0.8,169.0
2020-03-08 06:00:00+07:00,23.0,14.0,0.3,11.0,1.0,18.42857142857143,1.0,149.0
2020-03-08 07:00:00+07:00,28.0,17.0,0.4,12.0,1.0,17.285714285714285,0.9,143.0
2020-03-08 08:00:00+07:00,39.0,20.0,0.5,10.0,1.0,16.142857142857142,0.4,129.0
2020-03-08 09:00:00+07:00,40.5,22.5,0.5,8.0,1.0,15.0,1.0,115.0
2020-03-08 10:00:00+07:00,40.5,22.5,0.5,5.0,1.0,20.0,0.6,67.0
2020-03-08 11:00:00+07:00,40.5,22.5,0.4,5.0,2.0,25.0,2.0,89.0
2020-03-08 12:00:00+07:00,40.5,22.5,0.4,4.0,2.0,35.0,2.1,94.0
2020-03-08 13:00:00+07:00,40.5,22.5,0.4,3.0,2.0,28.0,1.7,102.0
2020-03-08 14:00:00+07:00,40.5,22.5,0.4,3.0,2.0,36.0,2.4,92.0
2020-03-08 15:00:00+07:00,37.0,22.5,0.4,3.5,2.0,20.0,2.6,93.0
2020-03-08 16:00:00+07:00,40.5,22.5,0.4,4.0,2.0,16.5,2.2,97.0
2020-03-08 17:00:00+07:00,40.5,22.0,0.4,4.0,2.0,13.0,2.2,97.0
2020-03-08 18:00:00+07:00,28.0,19.0,0.4,3.0,2.0,45.0,1.8,122.0
2020-03-08 19:00:00+07:00,25.0,17.0,0.3,3.0,2.0,38.0,2.0,134.0
2020-03-08 20:00:00+07:00,27.0,18.0,0.4,3.0,1.0,12.0,2.1,133.0
2020-03-08 21:00:00+07:00,27.0,18.0,0.4,3.0,0.0,18.0,2.0,141.0
2020-03-08 22:00:00+07:00,30.0,19.0,0.4,3.0,0.0,41.0,1.8,154.0
2020-03-08 23:00:00+07:00,24.0,16.0,0.4,4.0,0.0,20.0,1.6,139.0
2020-03-09 00:00:00+07:00,20.0,12.0,0.5,4.0,1.0,24.0,1.3,133.0
2020-03-09 01:00:00+07:00,25.0,16.0,0.4,4.0,1.0,9.0,0.5,259.0
2020-03-09 02:00:00+07:00,26.0,19.0,0.4,4.0,1.0,9.0,1.0,301.0
2020-03-09 03:00:00+07:00,35.0,22.5,0.5,5.0,1.0,13.0,0.9,286.0
2020-03-09 04:00:00+07:00,35.0,22.5,0.6,5.0,1.0,12.5,0.9,244.0
2020-03-09 05:00:00+07:00,30.0,21.0,0.5,5.0,1.0,12.0,0.7,241.0
2020-03-09 06:00:00+07:00,40.5,22.5,0.6,9.0,1.0,15.0,0.9,293.0
2020-03-09 07:00:00+07:00,40.5,22.5,0.7,8.0,1.0,18.545454545454547,0.7,331.0
2020-03-09 08:00:00+07:00,40.5,22.5,0.8,8.0,2.0,22.09090909090909,0.9,298.0
2020-03-09 09:00:00+07:00,40.5,22.5,0.7,7.0,2.0,25.636363636363637,1.0,269.0
2020-03-09 10:00:00+07:00,40.5,22.5,0.7,6.0,2.0,29.18181818181818,0.9,212.0
2020-03-09 11:00:00+07:00,40.5,22.5,0.6,6.0,3.0,32.72727272727273,1.1,198.0
2020-03-09 12:00:00+07:00,40.5,22.5,0.6,10.0,3.0,36.27272727272727,1.4,111.0
2020-03-09 13:00:00+07:00,40.5,22.5,0.5,10.0,3.0,39.81818181818181,2.3,99.0
2020-03-09 14:00:00+07:00,40.5,22.5,0.5,9.0,3.0,43.36363636363636,2.8,94.0
2020-03-09 15:00:00+07:00,40.5,22.5,0.5,8.0,3.0,46.90909090909091,2.0,107.0
2020-03-09 16:00:00+07:00,40.5,22.5,0.5,7.0,3.0,50.45454545454545,1.8,116.0
2020-03-09 17:00:00+07:00,40.5,22.5,0.5,7.0,2.0,54.0,1.7,115.0
2020-03-09 18:00:00+07:00,31.0,20.0,0.5,6.0,2.0,45.0,2.1,129.0
2020-03-09 19:00:00+07:00,31.0,20.0,0.5,6.0,2.0,40.0,2.0,130.0
2020-03-09 20:00:00+07:00,22.0,15.0,0.5,5.0,1.0,35.0,1.8,133.0
2020-03-09 21:00:00+07:00,22.0,13.0,0.5,4.0,1.0,32.0,1.9,140.0
2020-03-09 22:00:00+07:00,20.0,13.0,0.5,4.0,1.0,31.0,1.7,142.0
2020-03-09 23:00:00+07:00,21.0,12.0,0.5,4.0,1.0,27.0,1.5,136.0
2020-03-10 00:00:00+07:00,32.0,22.0,0.55,2.0,0.0,31.0,1.2,138.0
2020-03-10 01:00:00+07:00,22.0,12.0,0.4,5.0,1.0,20.0,1.2,139.0
2020-03-10 02:00:00+07:00,26.0,15.0,0.6,6.0,1.0,17.0,0.9,149.0
2020-03-10 03:00:00+07:00,27.0,17.0,0.6,9.0,0.0,12.0,1.1,147.0
2020-03-10 04:00:00+07:00,33.0,21.0,0.6,14.0,0.0,8.0,0.9,144.0
2020-03-10 05:00:00+07:00,38.0,22.5,0.6,14.0,1.0,6.0,0.9,145.0
2020-03-10 06:00:00+07:00,40.5,22.5,0.7,14.0,1.0,5.0,0.9,153.0
2020-03-10 07:00:00+07:00,40.5,22.5,0.8,14.0,1.0,5.0,0.8,145.0
2020-03-10 08:00:00+07:00,40.5,22.5,0.8249999999999998,14.0,2.0,6.0,0.7,264.0
2020-03-10 09:00:00+07:00,40.5,22.5,0.8249999999999998,14.0,2.0,9.0,0.2,168.0
2020-03-10 10:00:00+07:00,40.5,22.5,0.7,14.0,2.0,26.0,1.3,72.0
2020-03-10 11:00:00+07:00,40.5,22.5,0.6,5.0,2.0,41.0,1.8,93.0
2020-03-10 12:00:00+07:00,40.5,22.5,0.6,6.0,2.0,47.0,1.8,99.0
2020-03-10 13:00:00+07:00,40.5,22.5,0.6499999999999999,6.5,2.0,54.0,1.6,112.0
2020-03-10 14:00:00+07:00,40.5,22.5,0.7,7.0,2.0,50.0,1.9,106.0
2020-03-10 15:00:00+07:00,40.5,22.5,0.7,6.0,1.0,46.0,2.2,110.0
2020-03-10 16:00:00+07:00,40.5,22.5,0.6,4.0,2.0,43.0,2.1,118.0
2020-03-10 17:00:00+07:00,39.0,22.0,0.6,3.0,1.0,41.0,1.8,122.0
2020-03-10 18:00:00+07:00,40.5,22.5,0.6,3.0,2.0,44.0,2.1,128.0
2020-03-10 19:00:00+07:00,36.0,22.5,0.6,3.0,2.0,42.0,2.2,130.0
2020-03-10 20:00:00+07:00,35.0,22.5,0.6,2.0,1.0,43.0,2.3,134.0
2020-03-10 21:00:00+07:00,32.0,22.5,0.6,2.0,0.0,42.0,2.1,134.0
2020-03-10 22:00:00+07:00,32.0,22.5,0.6,2.0,0.0,38.0,1.8,140.0
2020-03-10 23:00:00+07:00,31.0,22.0,0.6,2.0,1.0,33.0,1.3,143.0
2020-03-11 00:00:00+07:00,38.0,22.5,0.6,1.0,1.0,35.0,1.6,138.0
2020-03-11 01:00:00+07:00,30.0,21.0,0.5,3.0,1.0,31.0,1.2,134.0
2020-03-11 02:00:00+07:00,29.0,20.0,0.5,5.0,1.0,27.0,1.0,142.0
2020-03-11 03:00:00+07:00,29.0,20.0,0.6,8.0,1.0,22.0,0.8,130.0
2020-03-11 04:00:00+07:00,40.5,22.5,0.6,10.0,0.0,12.0,0.7,278.0
2020-03-11 05:00:00+07:00,32.0,22.0,0.6,5.0,1.0,11.0,1.1,295.0
2020-03-11 06:00:00+07:00,34.0,22.5,0.7,6.0,1.0,9.0,1.0,303.0
2020-03-11 07:00:00+07:00,39.0,22.5,0.7,6.0,1.0,8.0,1.3,306.0
2020-03-11 08:00:00+07:00,40.5,22.5,0.7,7.0,1.0,10.0,1.3,335.0
2020-03-11 09:00:00+07:00,40.5,22.5,0.8,7.0,2.0,20.0,1.2,13.0
2020-03-11 10:00:00+07:00,40.5,22.5,0.8,8.0,2.0,37.0,1.7,53.0
2020-03-11 11:00:00+07:00,40.5,22.5,0.6,5.0,2.0,36.0,1.7,96.0
2020-03-11 12:00:00+07:00,40.5,22.5,0.6,3.5,2.0,41.0,1.7,104.0
2020-03-11 13:00:00+07:00,40.5,22.5,0.6,2.0,2.0,47.0,1.9,97.0
2020-03-11 14:00:00+07:00,40.5,22.5,0.6,3.0,2.0,53.0,1.8,103.0
2020-03-11 15:00:00+07:00,40.5,22.5,0.6,4.0,2.0,56.0,1.8,104.0
2020-03-11 16:00:00+07:00,40.5,22.5,0.6,5.0,2.0,55.0,1.7,107.0
2020-03-11 17:00:00+07:00,40.5,22.5,0.6,3.0,2.0,48.0,2.0,104.0
2020-03-11 18:00:00+07:00,40.5,22.5,0.7,2.0,2.0,46.0,1.7,111.0
2020-03-11 19:00:00+07:00,40.5,22.5,0.6,2.0,2.0,42.0,1.8,128.0
2020-03-11 20:00:00+07:00,40.5,22.5,0.6,1.0,1.0,36.0,2.2,133.0
2020-03-11 21:00:00+07:00,40.5,22.5,0.6,1.0,1.0,37.0,2.2,135.0
2020-03-11 22:00:00+07:00,36.0,22.5,0.6,1.0,1.0,37.0,2.1,139.0
2020-03-11 23:00:00+07:00,38.0,22.5,0.6,1.0,0.0,36.0,2.0,137.0
2020-03-12 00:00:00+07:00,20.0,13.0,0.5,0.0,1.0,28.0,2.2,137.0
2020-03-12 01:00:00+07:00,38.0,22.5,0.5,1.0,1.0,34.0,1.5,134.0
2020-03-12 02:00:00+07:00,35.0,22.5,0.5,1.0,1.0,32.0,1.4,133.0
2020-03-12 03:00:00+07:00,37.0,22.5,0.5,1.0,0.0,32.0,1.5,134.0
2020-03-12 04:00:00+07:00,39.0,22.5,0.6,1.0,1.0,31.0,1.5,137.0
2020-03-12 05:00:00+07:00,38.0,22.5,0.5,1.0,1.0,28.0,1.6,141.0
2020-03-12 06:00:00+07:00,37.0,22.5,0.5,2.0,1.0,24.0,1.5,147.0
2020-03-12 07:00:00+07:00,38.0,22.5,0.6,4.0,1.0,21.0,1.5,150.0
2020-03-12 08:00:00+07:00,40.5,22.5,0.7,5.0,1.0,22.0,1.6,149.0
2020-03-12 09:00:00+07:00,40.5,22.5,0.6,3.0,1.0,28.0,1.7,146.0
2020-03-12 10:00:00+07:00,40.5,22.5,0.6,1.0,1.0,34.0,1.8,140.0
2020-03-12 11:00:00+07:00,40.5,22.5,0.6,2.0,2.0,36.0,1.6,112.0
2020-03-12 12:00:00+07:00,40.5,22.5,0.6,3.0,3.0,35.5,1.9,109.0
2020-03-12 13:00:00+07:00,40.5,22.5,0.5,1.0,3.0,35.0,2.0,109.0
2020-03-12 14:00:00+07:00,40.5,22.5,0.5,0.0,2.0,33.0,2.0,107.0
2020-03-12 15:00:00+07:00,40.5,22.0,0.5,1.0,2.0,34.0,2.1,107.0
2020-03-12 16:00:00+07:00,40.5,21.0,0.5,1.0,2.0,33.0,2.2,106.0
2020-03-12 17:00:00+07:00,40.5,18.0,0.5,1.0,2.0,32.0,2.3,105.0
